"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-02-08 00:00:00,,,ui.log.type.message,,,启动多交易对现货短线程序化操作策略程序...
2018-02-08 00:00:00,,,ui.log.type.message,,,准备解析传入的JSON参数...
2018-02-08 00:00:00,,,ui.log.type.message,,,JSON格式检测通过...
2018-02-08 00:00:00,,,ui.log.type.message,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2018-02-08 00:00:00,,,ui.log.type.message,,,匹配到交易对： Huobi/BCH_BTC
2018-02-08 00:00:00,,,ui.log.type.message,,,Huobi/BCH_BTC 交易对接收参数如下：买入金额数量限制 28 ，当前持仓价格为， 0.093947 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，调试开关 1
2018-02-08 00:00:00,,,ui.log.type.message,,,成功匹配到 1 个交易对。
2018-02-08 00:00:00,,,ui.log.type.message,,,开始执行主事务程序...
2018-02-08 00:00:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-02-08 00:00:00,,,ui.log.type.message,,,进入行情识别
2018-02-08 00:00:01,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.121844 ，持仓价值 0
2018-02-08 00:00:01,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-02-08 00:00:01,,,ui.log.type.message,,,当前是 底部修正 行情，交叉数为 1 ，当前K线类型为 0
2018-02-08 00:00:01,,,ui.log.type.message,,,检测当前是否可以在金叉区域买入
2018-02-08 00:00:01,,,ui.log.type.message,,,检测当前是否可以在底部修正行情中金叉区域买入
2018-02-08 00:00:01,,,ui.log.type.message,,,金叉点的7线价 0.12175917249251754 死叉内的最低价 0.121036 金叉前三根K线当中的最高价 0.121844 金叉前三根K线当中的最高价K线交叉数是 1 金叉前三根K线当中的最高价后的最低价是 0.121844
2018-02-08 00:00:01,,,ui.log.type.message,,,当前没有建仓，但当前没有达到建仓条件，继续观察行情。
2018-02-08 00:00:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-02-08 00:00:21,,,ui.log.type.message,,,进入行情识别
2018-02-08 00:00:21,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.122003 ，持仓价值 0
2018-02-08 00:00:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-02-08 00:00:21,,,ui.log.type.message,,,当前是 底部修正 行情，交叉数为 1 ，当前K线类型为 7
2018-02-08 00:00:21,,,ui.log.type.message,,,检测当前是否可以在金叉区域买入
2018-02-08 00:00:21,,,ui.log.type.message,,,检测当前是否可以在底部修正行情中金叉区域买入
2018-02-08 00:00:21,,,ui.log.type.message,,,金叉点的7线价 0.12179892249251754 死叉内的最低价 0.121036 金叉前三根K线当中的最高价 0.122003 金叉前三根K线当中的最高价K线交叉数是 1 金叉前三根K线当中的最高价后的最低价是 0.121844
2018-02-08 00:00:21,,,ui.log.type.message,,,当前没有建仓，但当前没有达到建仓条件，继续观察行情。
2018-02-08 00:00:41,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-02-08 00:00:42,,,ui.log.type.message,,,进入行情识别
2018-02-08 00:00:42,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.12195 ，持仓价值 0
2018-02-08 00:00:42,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-02-08 00:00:42,,,ui.log.type.message,,,当前是 底部修正 行情，交叉数为 1 ，当前K线类型为 10
2018-02-08 00:00:42,,,ui.log.type.message,,,检测当前是否可以在金叉区域买入
2018-02-08 00:00:42,,,ui.log.type.message,,,检测当前是否可以在底部修正行情中金叉区域买入
2018-02-08 00:00:42,,,ui.log.type.message,,,金叉点的7线价 0.12178567249251754 死叉内的最低价 0.121036 金叉前三根K线当中的最高价 0.12195 金叉前三根K线当中的最高价K线交叉数是 1 金叉前三根K线当中的最高价后的最低价是 0.121844
2018-02-08 00:00:42,,,ui.log.type.message,,,当前没有建仓，但当前没有达到建仓条件，继续观察行情。
2018-02-08 00:01:02,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-02-08 00:01:02,,,ui.log.type.message,,,进入行情识别
