"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-03-09 00:00:00,,,ui.log.type.message,,,启动多交易对现货短线程序化操作策略程序...
2018-03-09 00:00:00,,,ui.log.type.message,,,准备解析传入的JSON参数...
2018-03-09 00:00:00,,,ui.log.type.message,,,JSON格式检测通过...
2018-03-09 00:00:00,,,ui.log.type.message,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2018-03-09 00:00:00,,,ui.log.type.message,,,匹配到交易对： Huobi/BCH_BTC
2018-03-09 00:00:00,,,ui.log.type.message,,,Huobi/BCH_BTC 交易对接收参数如下：买入金额数量限制 28 ，当前持仓价格为， 0.093947 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，调试开关 1
2018-03-09 00:00:00,,,ui.log.type.message,,,成功匹配到 1 个交易对。
2018-03-09 00:00:00,,,ui.log.type.message,,,开始执行主事务程序...
2018-03-09 00:00:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:00:00,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:00:00,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1087 ，持仓价值 0
2018-03-09 00:00:00,,,ui.log.type.message,,,当前下跌行情，交叉数为 -3 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:00:20,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:00:20,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:03:05,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10887 ，持仓价值 0
2018-03-09 00:03:05,,,ui.log.type.message,,,当前下跌行情，交叉数为 -3 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:03:25,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:03:25,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:04:50,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.108784 ，持仓价值 0
2018-03-09 00:04:50,,,ui.log.type.message,,,当前下跌行情，交叉数为 -3 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:05:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:05:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:06:55,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.108779 ，持仓价值 0
2018-03-09 00:06:55,,,ui.log.type.message,,,当前下跌行情，交叉数为 -3 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:07:15,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:07:15,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:09:50,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.109243 ，持仓价值 0
2018-03-09 00:09:50,,,ui.log.type.message,,,当前下跌行情，交叉数为 -3 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:10:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:10:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:13:05,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.108508 ，持仓价值 0
2018-03-09 00:13:05,,,ui.log.type.message,,,当前下跌行情，交叉数为 -3 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:13:25,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:13:25,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:14:50,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.108509 ，持仓价值 0
2018-03-09 00:14:50,,,ui.log.type.message,,,当前下跌行情，交叉数为 -3 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:15:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:15:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:15:20,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1088137 ，持仓价值 0
2018-03-09 00:15:20,,,ui.log.type.message,,,当前下跌行情，交叉数为 -4 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:15:40,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:15:40,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:15:41,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1088105 ，持仓价值 0
2018-03-09 00:15:41,,,ui.log.type.message,,,当前下跌行情，交叉数为 -4 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:16:01,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:16:01,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:16:01,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.108817 ，持仓价值 0
2018-03-09 00:16:01,,,ui.log.type.message,,,当前下跌行情，交叉数为 -4 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:16:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-09 00:16:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-09 00:16:40,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.108701 ，持仓价值 0
2018-03-09 00:16:40,,,ui.log.type.message,,,当前下跌行情，交叉数为 -4 ，当前已经完成平仓，继续观察行情。
2018-03-09 00:17:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
