"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-03-30 03:00:00,,,ui.log.type.message,,,启动多交易对现货短线程序化操作策略程序...
2018-03-30 03:00:00,,,ui.log.type.message,,,准备解析传入的JSON参数...
2018-03-30 03:00:00,,,ui.log.type.message,,,JSON格式检测通过...
2018-03-30 03:00:00,,,ui.log.type.message,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2018-03-30 03:00:00,,,ui.log.type.message,,,匹配到交易对： Huobi/BCH_BTC
2018-03-30 03:00:00,,,ui.log.type.message,,,Huobi/BCH_BTC 交易对接收参数如下：买入金额数量限制 28 ，当前持仓价格为， 0.093947 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，调试开关 1
2018-03-30 03:00:00,,,ui.log.type.message,,,成功匹配到 1 个交易对。
2018-03-30 03:00:00,,,ui.log.type.message,,,开始执行主事务程序...
2018-03-30 03:00:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:00:00,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:00:00,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 100.00000000 ，持仓均价 0.093947 ，持仓成本 9.3947 ，当前币价 0.100476 ，持仓价值 10.0476
2018-03-30 03:00:00,,,ui.log.type.message,,,当前死叉已经出现，交叉数为 -31 ，手上还有 100 个币，准备操作平仓出货。
2018-03-30 03:00:00,,,ui.log.type.message,,,准备以当前市价卖出当前所有的币，数量为 100 ，参考价格为 0.1004761
2018-03-30 03:00:01,Huobi,1,ui.log.type.sell,市价,100,
2018-03-30 03:00:01,,,ui.log.type.message,,,订单发送成功，订单编号： 1
2018-03-30 03:00:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:00:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:00:21,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.100494 ，持仓价值 0
2018-03-30 03:00:21,,,ui.log.type.profit,0.614005,,
2018-03-30 03:00:21,,,ui.log.type.message,,,Huobi/BCH_BTC 交易对订单 1 交易成功!平均卖出价格： 0.1004759 ，平均持仓价格： 0.093947 ，卖出数量： 100 ，毛收盈： 0.614005 ，累计毛收盈： 0.614005
2018-03-30 03:00:21,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:00:41,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:00:41,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:00:42,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.100488 ，持仓价值 0
2018-03-30 03:00:42,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:01:02,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:01:02,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:01:03,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1005 ，持仓价值 0
2018-03-30 03:01:03,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:01:23,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:01:23,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:01:40,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10042 ，持仓价值 0
2018-03-30 03:01:40,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:02:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:02:00,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:02:01,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.100436 ，持仓价值 0
2018-03-30 03:02:01,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:02:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:02:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:02:40,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10034 ，持仓价值 0
2018-03-30 03:02:40,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:03:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:03:00,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:03:01,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.100356 ，持仓价值 0
2018-03-30 03:03:01,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:03:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:03:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:03:50,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10026 ，持仓价值 0
2018-03-30 03:03:50,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:04:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:04:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:04:11,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10035 ，持仓价值 0
2018-03-30 03:04:11,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:04:31,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:04:31,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:04:31,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10032 ，持仓价值 0
2018-03-30 03:04:31,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:04:51,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:04:51,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:04:52,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10038 ，持仓价值 0
2018-03-30 03:04:52,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:05:12,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:05:12,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:09:50,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.100374 ，持仓价值 0
2018-03-30 03:09:50,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:10:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-30 03:10:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-30 03:14:50,,,ui.log.type.message,,,交易对情况：余额 40.02749482 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.10026 ，持仓价值 0
2018-03-30 03:14:50,,,ui.log.type.message,,,当前下跌行情，交叉数为 -31 ，当前已经完成平仓，继续观察行情。
2018-03-30 03:15:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
